年,基準地価平均(円/m2)
1990,16540
1991,16800
1992,16800
1993,16800
1994,16800
1995,16800
1996,16800
1997,16800
1998,16800
1999,16800
2000,16800
2001,16750
2002,16550
2003,16100
2004,15750
2005,15455
2006,15215
2007,15030
2008,14905
2009,14630
2010,14430
2011,14230
2012,14090
2013,13950
2014,13650
2015,13350
2016,12800
